0;958
1;4413
2;4631
3;2920
4;1831
5;1439
6;821
7;730
8;754
9;835
10;1133
11;919
12;984
13;794
14;859
15;758
16;658
17;717
18;695
19;705
20;654
21;706
22;834
23;859
24;806
25;715
26;592
27;589
28;577
29;590
30;562
31;602
32;606
33;622
34;596
35;510
36;539
37;583
38;539
39;492
40;615
41;578
42;577
43;572
44;542
45;578
46;575
47;676
48;733
49;751
50;1196
51;992
52;923
53;869
54;769
55;924
56;1088
57;1170
58;1237
59;1407
60;1238
61;1272
62;1383
63;1276
64;1282
65;1299
66;1276
67;1334
68;1431
69;1594
70;1820
71;1995
72;1869
73;1568
74;1643
75;1750
76;1644
77;1557
78;1652
79;1647
80;1673
81;1631
82;1691
83;1583
84;1636
85;1722
86;1710
87;1757
88;1964
89;2095
90;2297
91;2557
92;2432
93;2459
94;2375
95;2527
96;2901
97;2902
98;3157
99;3071
100;3255
101;3120
102;3142
103;3547
104;3701
105;3680
106;3500
107;3449
108;3370
109;3432
110;3411
111;3463
112;3339
113;3076
114;3151
115;3155
116;3038
117;3250
118;3410
119;3579
120;3806
121;3826
122;3896
123;4078
124;4335
125;3663
126;3454
127;3397
128;3218
129;2962
130;2856
131;2711
132;2721
133;2756
134;2639
135;2620
136;2645
137;2638
138;2675
139;2844
140;2814
141;2478
142;2548
143;2312
144;2249
145;2289
146;2164
147;2178
148;2146
149;2210
150;2111
151;2244
152;2064
153;2024
154;2017
155;2021
156;2178
157;2294
158;2514
159;2743
160;2982
161;3337
162;3433
163;3099
164;3412
165;4001
166;3726
167;3360
168;2755
169;2475
170;2173
171;2028
172;2065
173;2142
174;2223
175;2485
176;2532
177;2435
178;2361
179;2122
180;2125
181;2095
182;2032
183;1730
184;1715
185;1385
186;1471
187;1300
188;1290
189;1238
190;1313
191;1327
192;1312
193;1205
194;1235
195;1338
196;1283
197;1243
198;1220
199;1309
200;1416
201;1463
202;1564
203;1526
204;1514
205;1636
206;1751
207;1988
208;2014
209;2277
210;2813
211;3053
212;3353
213;2990
214;2979
215;3266
216;3235
217;3720
218;3826
219;4052
220;4145
221;5400
222;6839
223;6154
224;6141
225;5536
226;3799
227;2539
228;1933
229;1688
230;1230
231;899
232;673
233;639
234;603
235;585
236;654
237;671
238;714
239;893
240;1085
241;1266
242;2875
243;2722
244;1740
245;2461
246;2055
247;2685
248;3929
249;6508
250;16894
251;2688
252;245
253;54
254;28
255;3
